name,label,description,p3,water_system_type,depth_of_borehole,number_of_users
138574008,Water system 351 – Protected open well,Protected open well with hand pump,BD50380013,protected_open_well,,
138574009,Water system 352 – Borehole with hand pump,Borehole with hand pump serving the community,BD50380047,borehole_hand_pump,,
138574010,Water system 353 – Solar-powered water system,Solar-powered water system with piped distribution,BD50380058,solar_powered_water_system,,
138574011,Water system 354 – Motorized piped network,Motorized piped network with multiple tap stands,BD50380061,motorized_piped_network,,
138574012,Water system 355 – SWAT system,Surface water abstraction and treatment system,BD50380074,swat_system,,
138574013,Water system 356 – Spring protection,Protected spring with gravity-fed distribution,BD50640003,spring_protection,,
138574014,Water system 357 – Water trucking,Water trucking operation,BD50640006,water_trucking,,
138574015,Water system 358 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50640028,temporary_pumping_system,,
138574016,Water system 359 – Point-of-use water treatment,Point-of-use water treatment programme,BD50640047,point_of_use_water_treatment,,
138574017,Water system 360 – Protected open well,Protected open well with hand pump,BD50640050,protected_open_well,,
138574018,Water system 361 – Borehole with hand pump,Borehole with hand pump serving the community,BD50640060,borehole_hand_pump,,
138574019,Water system 362 – Solar-powered water system,Solar-powered water system with piped distribution,BD50640069,solar_powered_water_system,,
138574020,Water system 363 – Motorized piped network,Motorized piped network with multiple tap stands,BD50640075,motorized_piped_network,,
138574021,Water system 364 – SWAT system,Surface water abstraction and treatment system,BD50640079,swat_system,,
138574022,Water system 365 – Spring protection,Protected spring with gravity-fed distribution,BD50640085,spring_protection,,
138574023,Water system 366 – Water trucking,Water trucking operation,BD50640086,water_trucking,,
138574024,Water system 367 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50690009,temporary_pumping_system,,
138574025,Water system 368 – Point-of-use water treatment,Point-of-use water treatment programme,BD50690015,point_of_use_water_treatment,,
138574026,Water system 369 – Protected open well,Protected open well with hand pump,BD50690041,protected_open_well,,
138574027,Water system 370 – Borehole with hand pump,Borehole with hand pump serving the community,BD50690044,borehole_hand_pump,,
138574028,Water system 371 – Solar-powered water system,Solar-powered water system with piped distribution,BD50690055,solar_powered_water_system,,
138574029,Water system 372 – Motorized piped network,Motorized piped network with multiple tap stands,BD50690063,motorized_piped_network,,
138574030,Water system 373 – SWAT system,Surface water abstraction and treatment system,BD50690091,swat_system,,
138574031,Water system 374 – Spring protection,Protected spring with gravity-fed distribution,BD50700018,spring_protection,,
138574032,Water system 375 – Water trucking,Water trucking operation,BD50700037,water_trucking,,
138574033,Water system 376 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50700056,temporary_pumping_system,,
138574034,Water system 377 – Point-of-use water treatment,Point-of-use water treatment programme,BD50700066,point_of_use_water_treatment,,
138574035,Water system 378 – Protected open well,Protected open well with hand pump,BD50700088,protected_open_well,,
138574036,Water system 379 – Borehole with hand pump,Borehole with hand pump serving the community,BD50760005,borehole_hand_pump,,
138574037,Water system 380 – Solar-powered water system,Solar-powered water system with piped distribution,BD50760016,solar_powered_water_system,,
138574038,Water system 381 – Motorized piped network,Motorized piped network with multiple tap stands,BD50760019,motorized_piped_network,,
138574039,Water system 382 – SWAT system,Surface water abstraction and treatment system,BD50760022,swat_system,,
138574040,Water system 383 – Spring protection,Protected spring with gravity-fed distribution,BD50760033,spring_protection,,
138574041,Water system 384 – Water trucking,Water trucking operation,BD50760039,water_trucking,,
138574042,Water system 385 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50760055,temporary_pumping_system,,
138574043,Water system 386 – Point-of-use water treatment,Point-of-use water treatment programme,BD50760072,point_of_use_water_treatment,,
138574044,Water system 387 – Protected open well,Protected open well with hand pump,BD50760083,protected_open_well,,
138574045,Water system 388 – Borehole with hand pump,Borehole with hand pump serving the community,BD50810010,borehole_hand_pump,,
138574046,Water system 389 – Solar-powered water system,Solar-powered water system with piped distribution,BD50810012,solar_powered_water_system,,
138574047,Water system 390 – Motorized piped network,Motorized piped network with multiple tap stands,BD50810025,motorized_piped_network,,
138574048,Water system 391 – SWAT system,Surface water abstraction and treatment system,BD50810031,swat_system,,
138574049,Water system 392 – Spring protection,Protected spring with gravity-fed distribution,BD50810034,spring_protection,,
138574050,Water system 393 – Water trucking,Water trucking operation,BD50810053,water_trucking,,
138574051,Water system 394 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50810072,temporary_pumping_system,,
138574052,Water system 395 – Point-of-use water treatment,Point-of-use water treatment programme,BD50810082,point_of_use_water_treatment,,
138574053,Water system 396 – Protected open well,Protected open well with hand pump,BD50810094,protected_open_well,,
138574054,Water system 397 – Borehole with hand pump,Borehole with hand pump serving the community,BD50816600,borehole_hand_pump,,
138574055,Water system 398 – Solar-powered water system,Solar-powered water system with piped distribution,BD50880011,solar_powered_water_system,,
138574056,Water system 399 – Motorized piped network,Motorized piped network with multiple tap stands,BD50880027,motorized_piped_network,,
138574057,Water system 400 – SWAT system,Surface water abstraction and treatment system,BD50880044,swat_system,,
138574058,Water system 401 – Spring protection,Protected spring with gravity-fed distribution,BD50880050,spring_protection,,
138574059,Water system 402 – Water trucking,Water trucking operation,BD50880061,water_trucking,,
138574060,Water system 403 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD50880067,temporary_pumping_system,,
138574061,Water system 404 – Point-of-use water treatment,Point-of-use water treatment programme,BD50880078,point_of_use_water_treatment,,
138574062,Water system 405 – Protected open well,Protected open well with hand pump,BD50880089,protected_open_well,,
138574063,Water system 406 – Borehole with hand pump,Borehole with hand pump serving the community,BD50880094,borehole_hand_pump,,
138574064,Water system 407 – Solar-powered water system,Solar-powered water system with piped distribution,BD55270010,solar_powered_water_system,,
138574065,Water system 408 – Motorized piped network,Motorized piped network with multiple tap stands,BD55270012,motorized_piped_network,,
138574066,Water system 409 – SWAT system,Surface water abstraction and treatment system,BD55270017,swat_system,,
138574067,Water system 410 – Spring protection,Protected spring with gravity-fed distribution,BD55270021,spring_protection,,
138574068,Water system 411 – Water trucking,Water trucking operation,BD55270030,water_trucking,,
138574069,Water system 412 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55270038,temporary_pumping_system,,
138574070,Water system 413 – Point-of-use water treatment,Point-of-use water treatment programme,BD55270043,point_of_use_water_treatment,,
138574071,Water system 414 – Protected open well,Protected open well with hand pump,BD55270047,protected_open_well,,
138574072,Water system 415 – Borehole with hand pump,Borehole with hand pump serving the community,BD55270056,borehole_hand_pump,,
138574073,Water system 416 – Solar-powered water system,Solar-powered water system with piped distribution,BD55270060,solar_powered_water_system,,
138574074,Water system 417 – Motorized piped network,Motorized piped network with multiple tap stands,BD55270064,motorized_piped_network,,
138574075,Water system 418 – SWAT system,Surface water abstraction and treatment system,BD55270069,swat_system,,
138574076,Water system 419 – Spring protection,Protected spring with gravity-fed distribution,BD55270077,spring_protection,,
138574077,Water system 420 – Water trucking,Water trucking operation,BD55320021,water_trucking,,
138574078,Water system 421 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55320024,temporary_pumping_system,,
138574079,Water system 422 – Point-of-use water treatment,Point-of-use water treatment programme,BD55320030,point_of_use_water_treatment,,
138574080,Water system 423 – Protected open well,Protected open well with hand pump,BD55320067,protected_open_well,,
138574081,Water system 424 – Borehole with hand pump,Borehole with hand pump serving the community,BD55320082,borehole_hand_pump,,
138574082,Water system 425 – Solar-powered water system,Solar-powered water system with piped distribution,BD55320088,solar_powered_water_system,,
138574083,Water system 426 – Motorized piped network,Motorized piped network with multiple tap stands,BD55320091,motorized_piped_network,,
138574084,Water system 427 – SWAT system,Surface water abstraction and treatment system,BD55490006,swat_system,,
138574085,Water system 428 – Spring protection,Protected spring with gravity-fed distribution,BD55490008,spring_protection,,
138574086,Water system 429 – Water trucking,Water trucking operation,BD55490009,water_trucking,,
138574087,Water system 430 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55490018,temporary_pumping_system,,
138574088,Water system 431 – Point-of-use water treatment,Point-of-use water treatment programme,BD55490052,point_of_use_water_treatment,,
138574089,Water system 432 – Protected open well,Protected open well with hand pump,BD55490061,protected_open_well,,
138574090,Water system 433 – Borehole with hand pump,Borehole with hand pump serving the community,BD55490077,borehole_hand_pump,,
138574091,Water system 434 – Solar-powered water system,Solar-powered water system with piped distribution,BD55490079,solar_powered_water_system,,
138574092,Water system 435 – Motorized piped network,Motorized piped network with multiple tap stands,BD55490094,motorized_piped_network,,
138574093,Water system 436 – SWAT system,Surface water abstraction and treatment system,BD55520002,swat_system,,
138574094,Water system 437 – Spring protection,Protected spring with gravity-fed distribution,BD55520033,spring_protection,,
138574095,Water system 438 – Water trucking,Water trucking operation,BD55520039,water_trucking,,
138574096,Water system 439 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55520055,temporary_pumping_system,,
138574097,Water system 440 – Point-of-use water treatment,Point-of-use water treatment programme,BD55520070,point_of_use_water_treatment,,
138574098,Water system 441 – Protected open well,Protected open well with hand pump,BD55730012,protected_open_well,,
138574099,Water system 442 – Borehole with hand pump,Borehole with hand pump serving the community,BD55730015,borehole_hand_pump,,
138574100,Water system 443 – Solar-powered water system,Solar-powered water system with piped distribution,BD55730036,solar_powered_water_system,,
138574101,Water system 444 – Motorized piped network,Motorized piped network with multiple tap stands,BD55730045,motorized_piped_network,,
138574102,Water system 445 – SWAT system,Surface water abstraction and treatment system,BD55730064,swat_system,,
138574103,Water system 446 – Spring protection,Protected spring with gravity-fed distribution,BD55730085,spring_protection,,
138574104,Water system 447 – Water trucking,Water trucking operation,BD55770004,water_trucking,,
138574105,Water system 448 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55770025,temporary_pumping_system,,
138574106,Water system 449 – Point-of-use water treatment,Point-of-use water treatment programme,BD55770034,point_of_use_water_treatment,,
138574107,Water system 450 – Protected open well,Protected open well with hand pump,BD55770073,protected_open_well,,
138574108,Water system 451 – Borehole with hand pump,Borehole with hand pump serving the community,BD55770090,borehole_hand_pump,,
138574109,Water system 452 – Solar-powered water system,Solar-powered water system with piped distribution,BD55850003,solar_powered_water_system,,
138574110,Water system 453 – Motorized piped network,Motorized piped network with multiple tap stands,BD55850027,motorized_piped_network,,
138574111,Water system 454 – SWAT system,Surface water abstraction and treatment system,BD55850042,swat_system,,
138574112,Water system 455 – Spring protection,Protected spring with gravity-fed distribution,BD55850049,spring_protection,,
138574113,Water system 456 – Water trucking,Water trucking operation,BD55850058,water_trucking,,
138574114,Water system 457 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD55850073,temporary_pumping_system,,
138574115,Water system 458 – Point-of-use water treatment,Point-of-use water treatment programme,BD55850076,point_of_use_water_treatment,,
138574116,Water system 459 – Protected open well,Protected open well with hand pump,BD55850092,protected_open_well,,
138574117,Water system 460 – Borehole with hand pump,Borehole with hand pump serving the community,BD55857500,borehole_hand_pump,,
138574118,Water system 461 – Solar-powered water system,Solar-powered water system with piped distribution,BD55940008,solar_powered_water_system,,
138574119,Water system 462 – Motorized piped network,Motorized piped network with multiple tap stands,BD55940051,motorized_piped_network,,
138574120,Water system 463 – SWAT system,Surface water abstraction and treatment system,BD55940082,swat_system,,
138574121,Water system 464 – Spring protection,Protected spring with gravity-fed distribution,BD55940086,spring_protection,,
138574122,Water system 465 – Water trucking,Water trucking operation,BD55940094,water_trucking,,
138574123,Water system 466 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD60360002,temporary_pumping_system,,
138574124,Water system 467 – Point-of-use water treatment,Point-of-use water treatment programme,BD60360005,point_of_use_water_treatment,,
138574125,Water system 468 – Protected open well,Protected open well with hand pump,BD60360011,protected_open_well,,
138574126,Water system 469 – Borehole with hand pump,Borehole with hand pump serving the community,BD60360026,borehole_hand_pump,,
138574127,Water system 470 – Solar-powered water system,Solar-powered water system with piped distribution,BD60360044,solar_powered_water_system,,
138574128,Water system 471 – Motorized piped network,Motorized piped network with multiple tap stands,BD60360068,motorized_piped_network,,
138574129,Water system 472 – SWAT system,Surface water abstraction and treatment system,BD60360071,swat_system,,
138574130,Water system 473 – Spring protection,Protected spring with gravity-fed distribution,BD60360077,spring_protection,,
138574131,Water system 474 – Water trucking,Water trucking operation,BD60360087,water_trucking,,
138574132,Water system 475 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD60580014,temporary_pumping_system,,
138574133,Water system 476 – Point-of-use water treatment,Point-of-use water treatment programme,BD60580035,point_of_use_water_treatment,,
138574134,Water system 477 – Protected open well,Protected open well with hand pump,BD60580056,protected_open_well,,
138574135,Water system 478 – Borehole with hand pump,Borehole with hand pump serving the community,BD60580065,borehole_hand_pump,,
138574136,Water system 479 – Solar-powered water system,Solar-powered water system with piped distribution,BD60580074,solar_powered_water_system,,
138574137,Water system 480 – Motorized piped network,Motorized piped network with multiple tap stands,BD60580080,motorized_piped_network,,
138574138,Water system 481 – SWAT system,Surface water abstraction and treatment system,BD60580083,swat_system,,
138574139,Water system 482 – Spring protection,Protected spring with gravity-fed distribution,BD60900018,spring_protection,,
138574140,Water system 483 – Water trucking,Water trucking operation,BD60900023,water_trucking,,
138574141,Water system 484 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD60900029,temporary_pumping_system,,
138574142,Water system 485 – Point-of-use water treatment,Point-of-use water treatment programme,BD60900032,point_of_use_water_treatment,,
138574143,Water system 486 – Protected open well,Protected open well with hand pump,BD60900033,protected_open_well,,
138574144,Water system 487 – Borehole with hand pump,Borehole with hand pump serving the community,BD60900047,borehole_hand_pump,,
138574145,Water system 488 – Solar-powered water system,Solar-powered water system with piped distribution,BD60900050,solar_powered_water_system,,
138574146,Water system 489 – Motorized piped network,Motorized piped network with multiple tap stands,BD60900063,motorized_piped_network,,
138574147,Water system 490 – SWAT system,Surface water abstraction and treatment system,BD60900086,swat_system,,
138574148,Water system 491 – Spring protection,Protected spring with gravity-fed distribution,BD60900087,spring_protection,,
138574149,Water system 492 – Water trucking,Water trucking operation,BD60900089,water_trucking,,
138574150,Water system 493 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD60900092,temporary_pumping_system,,
138574151,Water system 494 – Point-of-use water treatment,Point-of-use water treatment programme,BD60910008,point_of_use_water_treatment,,
138574152,Water system 495 – Protected open well,Protected open well with hand pump,BD60910017,protected_open_well,,
138574153,Water system 496 – Borehole with hand pump,Borehole with hand pump serving the community,BD60910020,borehole_hand_pump,,
138574154,Water system 497 – Solar-powered water system,Solar-powered water system with piped distribution,BD60910027,solar_powered_water_system,,
138574155,Water system 498 – Motorized piped network,Motorized piped network with multiple tap stands,BD60910031,motorized_piped_network,,
138574156,Water system 499 – SWAT system,Surface water abstraction and treatment system,BD60910035,swat_system,,
138574157,Water system 500 – Spring protection,Protected spring with gravity-fed distribution,BD60910038,spring_protection,,
138574158,Water system 501 – Water trucking,Water trucking operation,BD60910041,water_trucking,,
138574159,Water system 502 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD60910053,temporary_pumping_system,,
138574160,Water system 503 – Point-of-use water treatment,Point-of-use water treatment programme,BD60910059,point_of_use_water_treatment,,
138574161,Water system 504 – Protected open well,Protected open well with hand pump,BD60910060,protected_open_well,,
138574162,Water system 505 – Borehole with hand pump,Borehole with hand pump serving the community,BD60910062,borehole_hand_pump,,
138574163,Water system 506 – Solar-powered water system,Solar-powered water system with piped distribution,BD60910094,solar_powered_water_system,,
138574164,Water system 507 – Motorized piped network,Motorized piped network with multiple tap stands,BD60915000,motorized_piped_network,,
138574165,Water system 508 – SWAT system,Surface water abstraction and treatment system,BD10040009,swat_system,,
138574166,Water system 509 – Spring protection,Protected spring with gravity-fed distribution,BD10040019,spring_protection,,
138574167,Water system 510 – Water trucking,Water trucking operation,BD10040028,water_trucking,,
138574168,Water system 511 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD10040047,temporary_pumping_system,,
138574169,Water system 512 – Point-of-use water treatment,Point-of-use water treatment programme,BD10040085,point_of_use_water_treatment,,
138574170,Water system 513 – Protected open well,Protected open well with hand pump,BD10040090,protected_open_well,,
138574171,Water system 514 – Borehole with hand pump,Borehole with hand pump serving the community,BD10060002,borehole_hand_pump,,
138574172,Water system 515 – Solar-powered water system,Solar-powered water system with piped distribution,BD10060003,solar_powered_water_system,,
138574173,Water system 516 – Motorized piped network,Motorized piped network with multiple tap stands,BD10060007,motorized_piped_network,,
138574174,Water system 517 – SWAT system,Surface water abstraction and treatment system,BD10060010,swat_system,,
138574175,Water system 518 – Spring protection,Protected spring with gravity-fed distribution,BD10060032,spring_protection,,
138574176,Water system 519 – Water trucking,Water trucking operation,BD10060036,water_trucking,,
138574177,Water system 520 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD10060051,temporary_pumping_system,,
138574178,Water system 521 – Point-of-use water treatment,Point-of-use water treatment programme,BD10060062,point_of_use_water_treatment,,
138574179,Water system 522 – Protected open well,Protected open well with hand pump,BD10060069,protected_open_well,,
138574180,Water system 523 – Borehole with hand pump,Borehole with hand pump serving the community,BD10060094,borehole_hand_pump,,
138574181,Water system 524 – Solar-powered water system,Solar-powered water system with piped distribution,BD10065000,solar_powered_water_system,,
138574182,Water system 525 – Motorized piped network,Motorized piped network with multiple tap stands,BD10090018,motorized_piped_network,,
138574183,Water system 526 – SWAT system,Surface water abstraction and treatment system,BD10090021,swat_system,,
138574184,Water system 527 – Spring protection,Protected spring with gravity-fed distribution,BD10090025,spring_protection,,
138574185,Water system 528 – Water trucking,Water trucking operation,BD10090029,water_trucking,,
138574186,Water system 529 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD10090054,temporary_pumping_system,,
138574187,Water system 530 – Point-of-use water treatment,Point-of-use water treatment programme,BD10090065,point_of_use_water_treatment,,
138574188,Water system 531 – Protected open well,Protected open well with hand pump,BD10090091,protected_open_well,,
138574189,Water system 532 – Borehole with hand pump,Borehole with hand pump serving the community,BD10420040,borehole_hand_pump,,
138574190,Water system 533 – Solar-powered water system,Solar-powered water system with piped distribution,BD10420043,solar_powered_water_system,,
138574191,Water system 534 – Motorized piped network,Motorized piped network with multiple tap stands,BD10420073,motorized_piped_network,,
138574192,Water system 535 – SWAT system,Surface water abstraction and treatment system,BD10420084,swat_system,,
138574193,Water system 536 – Spring protection,Protected spring with gravity-fed distribution,BD10780038,spring_protection,,
138574194,Water system 537 – Water trucking,Water trucking operation,BD10780052,water_trucking,,
138574195,Water system 538 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD10780055,temporary_pumping_system,,
138574196,Water system 539 – Point-of-use water treatment,Point-of-use water treatment programme,BD10780057,point_of_use_water_treatment,,
138574197,Water system 540 – Protected open well,Protected open well with hand pump,BD10780066,protected_open_well,,
138574198,Water system 541 – Borehole with hand pump,Borehole with hand pump serving the community,BD10780076,borehole_hand_pump,,
138574199,Water system 542 – Solar-powered water system,Solar-powered water system with piped distribution,BD10780095,solar_powered_water_system,,
138574200,Water system 543 – Motorized piped network,Motorized piped network with multiple tap stands,BD10780097,motorized_piped_network,,
138574201,Water system 544 – SWAT system,Surface water abstraction and treatment system,BD10790014,swat_system,,
138574202,Water system 545 – Spring protection,Protected spring with gravity-fed distribution,BD10790047,spring_protection,,
138574203,Water system 546 – Water trucking,Water trucking operation,BD10790058,water_trucking,,
138574204,Water system 547 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD10790076,temporary_pumping_system,,
138574205,Water system 548 – Point-of-use water treatment,Point-of-use water treatment programme,BD10790080,point_of_use_water_treatment,,
138574206,Water system 549 – Protected open well,Protected open well with hand pump,BD10790087,protected_open_well,,
138574207,Water system 550 – Borehole with hand pump,Borehole with hand pump serving the community,BD10790090,borehole_hand_pump,,
138574208,Water system 551 – Solar-powered water system,Solar-powered water system with piped distribution,BD20030004,solar_powered_water_system,,
138574209,Water system 552 – Motorized piped network,Motorized piped network with multiple tap stands,BD20030014,motorized_piped_network,,
138574210,Water system 553 – SWAT system,Surface water abstraction and treatment system,BD20030051,swat_system,,
138574211,Water system 554 – Spring protection,Protected spring with gravity-fed distribution,BD20030073,spring_protection,,
138574212,Water system 555 – Water trucking,Water trucking operation,BD20030089,water_trucking,,
138574213,Water system 556 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20030091,temporary_pumping_system,,
138574214,Water system 557 – Point-of-use water treatment,Point-of-use water treatment programme,BD20030095,point_of_use_water_treatment,,
138574215,Water system 558 – Protected open well,Protected open well with hand pump,BD20120002,protected_open_well,,
138574216,Water system 559 – Borehole with hand pump,Borehole with hand pump serving the community,BD20120004,borehole_hand_pump,,
138574217,Water system 560 – Solar-powered water system,Solar-powered water system with piped distribution,BD20120007,solar_powered_water_system,,
138574218,Water system 561 – Motorized piped network,Motorized piped network with multiple tap stands,BD20120013,motorized_piped_network,,
138574219,Water system 562 – SWAT system,Surface water abstraction and treatment system,BD20120033,swat_system,,
138574220,Water system 563 – Spring protection,Protected spring with gravity-fed distribution,BD20120063,spring_protection,,
138574221,Water system 564 – Water trucking,Water trucking operation,BD20120085,water_trucking,,
138574222,Water system 565 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20120090,temporary_pumping_system,,
138574223,Water system 566 – Point-of-use water treatment,Point-of-use water treatment programme,BD20120094,point_of_use_water_treatment,,
138574224,Water system 567 – Protected open well,Protected open well with hand pump,BD20130022,protected_open_well,,
138574225,Water system 568 – Borehole with hand pump,Borehole with hand pump serving the community,BD20130045,borehole_hand_pump,,
138574226,Water system 569 – Solar-powered water system,Solar-powered water system with piped distribution,BD20130047,solar_powered_water_system,,
138574227,Water system 570 – Motorized piped network,Motorized piped network with multiple tap stands,BD20130049,motorized_piped_network,,
138574228,Water system 571 – SWAT system,Surface water abstraction and treatment system,BD20130058,swat_system,,
138574229,Water system 572 – Spring protection,Protected spring with gravity-fed distribution,BD20130076,spring_protection,,
138574230,Water system 573 – Water trucking,Water trucking operation,BD20130079,water_trucking,,
138574231,Water system 574 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20130095,temporary_pumping_system,,
138574232,Water system 575 – Point-of-use water treatment,Point-of-use water treatment programme,BD20150004,point_of_use_water_treatment,,
138574233,Water system 576 – Protected open well,Protected open well with hand pump,BD20150008,protected_open_well,,
138574234,Water system 577 – Borehole with hand pump,Borehole with hand pump serving the community,BD20150012,borehole_hand_pump,,
138574235,Water system 578 – Solar-powered water system,Solar-powered water system with piped distribution,BD20150018,solar_powered_water_system,,
138574236,Water system 579 – Motorized piped network,Motorized piped network with multiple tap stands,BD20150033,motorized_piped_network,,
138574237,Water system 580 – SWAT system,Surface water abstraction and treatment system,BD20150037,swat_system,,
138574238,Water system 581 – Spring protection,Protected spring with gravity-fed distribution,BD20150039,spring_protection,,
138574239,Water system 582 – Water trucking,Water trucking operation,BD20150047,water_trucking,,
138574240,Water system 583 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20150053,temporary_pumping_system,,
138574241,Water system 584 – Point-of-use water treatment,Point-of-use water treatment programme,BD20150061,point_of_use_water_treatment,,
138574242,Water system 585 – Protected open well,Protected open well with hand pump,BD20150070,protected_open_well,,
138574243,Water system 586 – Borehole with hand pump,Borehole with hand pump serving the community,BD20150074,borehole_hand_pump,,
138574244,Water system 587 – Solar-powered water system,Solar-powered water system with piped distribution,BD20150078,solar_powered_water_system,,
138574245,Water system 588 – Motorized piped network,Motorized piped network with multiple tap stands,BD20150082,motorized_piped_network,,
138574246,Water system 589 – SWAT system,Surface water abstraction and treatment system,BD20150086,swat_system,,
138574247,Water system 590 – Spring protection,Protected spring with gravity-fed distribution,BD20151600,spring_protection,,
138574248,Water system 591 – Water trucking,Water trucking operation,BD20190009,water_trucking,,
138574249,Water system 592 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20190015,temporary_pumping_system,,
138574250,Water system 593 – Point-of-use water treatment,Point-of-use water treatment programme,BD20190018,point_of_use_water_treatment,,
138574251,Water system 594 – Protected open well,Protected open well with hand pump,BD20190027,protected_open_well,,
138574252,Water system 595 – Borehole with hand pump,Borehole with hand pump serving the community,BD20190031,borehole_hand_pump,,
138574253,Water system 596 – Solar-powered water system,Solar-powered water system with piped distribution,BD20190033,solar_powered_water_system,,
138574254,Water system 597 – Motorized piped network,Motorized piped network with multiple tap stands,BD20190036,motorized_piped_network,,
138574255,Water system 598 – SWAT system,Surface water abstraction and treatment system,BD20190040,swat_system,,
138574256,Water system 599 – Spring protection,Protected spring with gravity-fed distribution,BD20190054,spring_protection,,
138574257,Water system 600 – Water trucking,Water trucking operation,BD20190067,water_trucking,,
138574258,Water system 601 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20190072,temporary_pumping_system,,
138574259,Water system 602 – Point-of-use water treatment,Point-of-use water treatment programme,BD20190073,point_of_use_water_treatment,,
138574260,Water system 603 – Protected open well,Protected open well with hand pump,BD20190074,protected_open_well,,
138574261,Water system 604 – Borehole with hand pump,Borehole with hand pump serving the community,BD20190075,borehole_hand_pump,,
138574262,Water system 605 – Solar-powered water system,Solar-powered water system with piped distribution,BD20190081,solar_powered_water_system,,
138574263,Water system 606 – Motorized piped network,Motorized piped network with multiple tap stands,BD20190087,motorized_piped_network,,
138574264,Water system 607 – SWAT system,Surface water abstraction and treatment system,BD20190094,swat_system,,
138574265,Water system 608 – Spring protection,Protected spring with gravity-fed distribution,BD20195000,spring_protection,,
138574266,Water system 609 – Water trucking,Water trucking operation,BD20220016,water_trucking,,
138574267,Water system 610 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20220024,temporary_pumping_system,,
138574268,Water system 611 – Point-of-use water treatment,Point-of-use water treatment programme,BD20220032,point_of_use_water_treatment,,
138574269,Water system 612 – Protected open well,Protected open well with hand pump,BD20220045,protected_open_well,,
138574270,Water system 613 – Borehole with hand pump,Borehole with hand pump serving the community,BD20220049,borehole_hand_pump,,
138574271,Water system 614 – Solar-powered water system,Solar-powered water system with piped distribution,BD20220056,solar_powered_water_system,,
138574272,Water system 615 – Motorized piped network,Motorized piped network with multiple tap stands,BD20220066,motorized_piped_network,,
138574273,Water system 616 – SWAT system,Surface water abstraction and treatment system,BD20220090,swat_system,,
138574274,Water system 617 – Spring protection,Protected spring with gravity-fed distribution,BD20220094,spring_protection,,
138574275,Water system 618 – Water trucking,Water trucking operation,BD20300014,water_trucking,,
138574276,Water system 619 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20300025,temporary_pumping_system,,
138574277,Water system 620 – Point-of-use water treatment,Point-of-use water treatment programme,BD20300029,point_of_use_water_treatment,,
138574278,Water system 621 – Protected open well,Protected open well with hand pump,BD20300041,protected_open_well,,
138574279,Water system 622 – Borehole with hand pump,Borehole with hand pump serving the community,BD20300051,borehole_hand_pump,,
138574280,Water system 623 – Solar-powered water system,Solar-powered water system with piped distribution,BD20300094,solar_powered_water_system,,
138574281,Water system 624 – Motorized piped network,Motorized piped network with multiple tap stands,BD20460043,motorized_piped_network,,
138574282,Water system 625 – SWAT system,Surface water abstraction and treatment system,BD20460047,swat_system,,
138574283,Water system 626 – Spring protection,Protected spring with gravity-fed distribution,BD20460049,spring_protection,,
138574284,Water system 627 – Water trucking,Water trucking operation,BD20460061,water_trucking,,
138574285,Water system 628 – Temporary pumping system,Temporary pumping system with tank and tap stands,BD20460065,temporary_pumping_system,,
138574286,Water system 629 – Point-of-use water treatment,Point-of-use water treatment programme,BD20460067,point_of_use_water_treatment,,
138574287,Water system 630 – Protected open well,Protected open well with hand pump,BD20460070,protected_open_well,,
138574288,Water system 631 – Borehole with hand pump,Borehole with hand pump serving the community,BD20460077,borehole_hand_pump,,
138574289,Water system 632 – Solar-powered water system,Solar-powered water system with piped distribution,BD20460080,solar_powered_water_system,,
138574290,Water system 633 – Motorized piped network,Motorized piped network with multiple tap stands,BD20510033,motorized_piped_network,,
138574291,Water system 634 – SWAT system,Surface water abstraction and treatment system,BD20510043,swat_system,,
138574292,Water system 635 – Spring protection,Protected spring with gravity-fed distribution,BD20510058,spring_protection,,
